"SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50%_Fem_om","Mat_slope_Fem_om","Eggs/kg_inter_Fem_om","Eggs/kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50%_Fem_em","Mat_slope_Fem_em","Eggs/kg_inter_Fem_em","Eggs/kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","A","C","D","L","E","F","I","R","species","max_grad","version","RunTime","hessian"
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1525180000,176859000,4394800000,0.320444616364795,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7733,0.65,0.4,0,0,0,0,0,-0.0473966,0,51.089,-3,5.12099,15,-999,-999,41.8075,-4,5.24004,14,-99,99,164190000,603.893,1.43636e-14,0,-17.2348,NA,NA,518.842,160.74,NA,NA,NA,NA,NA,-58.5509,0,0.0949005,0.00189801,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",1,"A30","C10","D0","L30","E0","F0","I0","R0","cos",6.63405e-05,"#V3.24O",0.333333333333333,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1562670000,181679000,4504480000,0.406029108798352,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.798,0.65,0.4,0,0,0,0,0,-0.0799952,0,52.324,-3,5.26379,15,-999,-999,41.2673,-4,5.15626,14,-99,99,164190000,613.859,7.10053e-15,0,-14.0535,NA,NA,521.938,162.308,NA,NA,NA,NA,NA,-56.4298,0,0.0941745,0.00188349,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",2,"A30","C10","D0","L30","E0","F0","I0","R0","cos",0.00199371,"#V3.24O",0.366666666666667,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1560760000,180294000,4494740000,0.37763474639245,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7958,0.65,0.4,0,0,0,0,0,-0.0631081,0,49.1024,-3,4.87298,15,-999,-999,45.2706,-4,5.86412,14,-99,99,164190000,583.855,6.5079e-15,0,-15.1017,NA,NA,496.542,161.129,NA,NA,NA,NA,NA,-58.8079,0,0.090545,0.0018109,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",3,"A30","C10","D0","L30","E0","F0","I0","R0","cos",0.00792835,"#V3.24O",0.333333333333333,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1541310000,177209000,4435170000,0.31914898414266,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7825,0.65,0.4,0,0,0,0,0,0.0782307,0,46.8663,-3,4.58852,15,-999,-999,42.5279,-4,5.26305,14,-99,99,164190000,596.784,1.05279e-14,0,-14.8713,NA,NA,516.51,151.65,NA,NA,NA,NA,NA,-56.6075,0,0.101374,0.00202748,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",4,"A30","C10","D0","L30","E0","F0","I0","R0","cos",0.00185385,"#V3.24O",0.35,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1514360000,175185000,4362400000,0.343437098844673,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7659,0.65,0.4,0,0,0,0,0,0.00716964,0,49.2054,-3,4.85979,15,-999,-999,42.3556,-4,5.32711,14,-99,99,164190000,649.471,2.04229e-14,0,-15.3279,NA,NA,541.792,179.785,NA,NA,NA,NA,NA,-56.8769,0,0.0970398,0.0019408,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",5,"A30","C10","D0","L30","E0","F0","I0","R0","cos",0.00034193,"#V3.24O",0.316666666666667,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1509070000,174829000,4348070000,0.303803756609254,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7626,0.65,0.4,0,0,0,0,0,-0.0354963,0,50.1182,-3,4.98253,15,-999,-999,41.2006,-4,5.10569,14,-99,99,164190000,626.687,1.64652e-14,0,-16.4763,NA,NA,512.004,188.62,NA,NA,NA,NA,NA,-57.5605,0,0.0982733,0.00196547,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",6,"A30","C10","D0","L30","E0","F0","I0","R0","cos",7.29764e-05,"#V3.24O",0.316666666666667,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1526280000,177392000,4400070000,0.330153838461661,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7745,0.65,0.4,0,0,0,0,0,-0.12495,0,51.1058,-3,5.08007,15,-999,-999,41.3883,-4,5.03701,14,-99,99,164190000,686.476,1.1571e-14,0,-11.1691,NA,NA,570.94,183.374,NA,NA,NA,NA,NA,-56.7674,0,0.096437,0.00192874,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",7,"A30","C10","D0","L30","E0","F0","I0","R0","cos",9.64082e-06,"#V3.24O",0.333333333333333,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1519730000,176922000,4382060000,0.329240129071715,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7704,0.65,0.4,0,0,0,0,0,-0.10175,0,52.1193,-3,5.20922,15,-999,-999,41.8252,-4,5.19239,14,-99,99,164190000,602.447,1.33203e-14,0,-15.0374,NA,NA,516.729,158.325,NA,NA,NA,NA,NA,-57.6641,0,0.0933743,0.00186749,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",8,"A30","C10","D0","L30","E0","F0","I0","R0","cos",8.98157e-05,"#V3.24O",0.333333333333333,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1510950000,176509000,4359820000,0.33093568083086,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7653,0.65,0.4,0,0,0,0,0,-0.000449237,0,52.2397,-3,5.16497,15,-999,-999,44.8853,-4,5.69747,14,-99,99,164190000,575.471,7.79583e-15,0,-14.3382,NA,NA,496.461,148.149,NA,NA,NA,NA,NA,-54.8884,0,0.0863865,0.00172773,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",9,"A30","C10","D0","L30","E0","F0","I0","R0","cos",8.46527e-05,"#V3.24O",0.316666666666667,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1565840000,180985000,4508610000,0.354264396343884,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7989,0.65,0.4,0,0,0,0,0,-0.103191,0,51.5183,-3,5.24495,15,-999,-999,43.1572,-4,5.47567,14,-99,99,164190000,651.99,5.54201e-15,0,-17.0481,NA,NA,532.689,193.211,NA,NA,NA,NA,NA,-56.9537,0,0.0907302,0.0018146,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",10,"A30","C10","D0","L30","E0","F0","I0","R0","cos",6.1428e-07,"#V3.24O",0.3,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1522390000,176399000,4385410000,0.34523111864113,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7712,0.65,0.4,0,0,0,0,0,0.00384151,0,52.111,-3,5.29021,15,-999,-999,42.1069,-4,5.19384,14,-99,99,164190000,594.65,2.78554e-14,0,-19.0468,NA,NA,491.851,178.388,NA,NA,NA,NA,NA,-56.6363,0,0.0925967,0.00185193,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",11,"A30","C10","D0","L30","E0","F0","I0","R0","cos",8.43375e-05,"#V3.24O",0.316666666666667,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1522350000,176601000,4387530000,0.280704633358632,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7717,0.65,0.4,0,0,0,0,0,0.0357334,0,50.1805,-3,4.96591,15,-999,-999,44.0046,-4,5.55886,14,-99,99,164190000,604.182,1.92204e-14,0,-15.731,NA,NA,497.898,179.035,NA,NA,NA,NA,NA,-57.113,0,0.0916461,0.00183292,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",12,"A30","C10","D0","L30","E0","F0","I0","R0","cos",7.8865e-05,"#V3.24O",0.333333333333333,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1565620000,181348000,4510570000,0.347993712546308,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7993,0.65,0.4,0,0,0,0,0,-0.0520287,0,50.5665,-3,5.05886,15,-999,-999,44.7071,-4,5.72843,14,-99,99,164190000,572.221,5.12028e-15,0,-19.6884,NA,NA,486.44,161.463,NA,NA,NA,NA,NA,-56.0847,0,0.0891677,0.00178335,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",13,"A30","C10","D0","L30","E0","F0","I0","R0","cos",0.00017596,"#V3.24O",0.35,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1501990000,174148000,4327920000,0.299876152978798,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.758,0.65,0.4,0,0,0,0,0,-0.00652984,0,50.9756,-3,5.10535,15,-999,-999,42.5049,-4,5.34777,14,-99,99,164190000,620.984,1.27577e-14,0,-18.2271,NA,NA,538.28,157.625,NA,NA,NA,NA,NA,-56.7885,0,0.0934435,0.00186887,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",14,"A30","C10","D0","L30","E0","F0","I0","R0","cos",5.92787e-05,"#V3.24O",0.333333333333333,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1479890000,172538000,4267500000,0.272360867018161,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7439,0.65,0.4,0,0,0,0,0,0.161229,0,53.6277,-3,5.40749,15,-999,-999,41.0766,-4,5.11064,14,-99,99,164190000,650.995,1.75446e-14,0,-15.0012,NA,NA,536.629,186.778,NA,NA,NA,NA,NA,-57.5051,0,0.0926489,0.00185298,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",15,"A30","C10","D0","L30","E0","F0","I0","R0","cos",0.000960375,"#V3.24O",0.35,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1494610000,173421000,4307850000,0.314929721322702,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7533,0.65,0.4,0,0,0,0,0,-0.00709062,0,50.0098,-3,4.93253,15,-999,-999,41.6991,-4,5.11311,14,-99,99,164190000,581.998,8.08224e-15,0,-12.8553,NA,NA,505.72,145.615,NA,NA,NA,NA,NA,-56.5812,0,0.0975549,0.0019511,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",16,"A30","C10","D0","L30","E0","F0","I0","R0","cos",0.00113415,"#V3.24O",0.3,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1519300000,175956000,4377080000,0.336468604640537,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7693,0.65,0.4,0,0,0,0,0,0.0303001,0,50.3702,-3,5.0303,15,-999,-999,40.4371,-4,4.89939,14,-99,99,164190000,632.3,8.89995e-15,0,-18.1306,NA,NA,519.202,187.257,NA,NA,NA,NA,NA,-56.1299,0,0.0999965,0.00199993,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",17,"A30","C10","D0","L30","E0","F0","I0","R0","cos",3.04339e-07,"#V3.24O",0.333333333333333,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1555400000,179134000,4476680000,0.337551489049921,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7918,0.65,0.4,0,0,0,0,0,-0.0452891,0,48.5735,-3,4.84771,15,-999,-999,44.1122,-4,5.60761,14,-99,99,164190000,620.681,8.66347e-15,0,-13.3304,NA,NA,521.853,171.873,NA,NA,NA,NA,NA,-59.8103,0,0.0940329,0.00188066,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",18,"A30","C10","D0","L30","E0","F0","I0","R0","cos",1.79168e-06,"#V3.24O",0.3,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1554940000,179778000,4478600000,0.350866342160497,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7922,0.65,0.4,0,0,0,0,0,-0.121584,0,49.5646,-3,4.93234,15,-999,-999,40.534,-4,4.95016,14,-99,99,164190000,589.924,6.91243e-15,0,-15.8928,NA,NA,510.604,151.123,NA,NA,NA,NA,NA,-56.0136,0,0.101076,0.00202152,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",19,"A30","C10","D0","L30","E0","F0","I0","R0","cos",0.000139853,"#V3.24O",0.35,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1513020000,174938000,4357340000,0.30839227602161,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7648,0.65,0.4,0,0,0,0,0,0.0454484,0,50.6435,-3,5.1056,15,-999,-999,40.2165,-4,4.94653,14,-99,99,164190000,631.016,6.50576e-15,0,-13.6599,NA,NA,536.991,164.867,NA,NA,NA,NA,NA,-57.284,0,0.0997172,0.00199434,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",20,"A30","C10","D0","L30","E0","F0","I0","R0","cos",6.11948e-08,"#V3.24O",0.333333333333333,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1503200000,174433000,4332340000,0.289972624493922,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.759,0.65,0.4,0,0,0,0,0,0.00990098,0,50.6885,-3,5.04343,15,-999,-999,41.4613,-4,5.08729,14,-99,99,164190000,619.801,4.11444e-14,0,-14.1272,NA,NA,532.462,159.562,NA,NA,NA,NA,NA,-58.1955,0,0.0968191,0.00193638,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",21,"A30","C10","D0","L30","E0","F0","I0","R0","cos",0.000125284,"#V3.24O",0.316666666666667,FALSE
1417700000,164180000,4084110000,0.349065034977021,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,164190000,214285,9.5472e-07,0,-20.9227,NA,NA,252.551,214053,NA,NA,NA,NA,NA,0,0,0,0,0,0,1530070000,176701000,4406100000,0.331765052994712,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7759,0.65,0.4,0,0,0,0,0,-0.113988,0,49.1424,-3,4.8855,15,-999,-999,42.3398,-4,5.30766,14,-99,99,164190000,642.411,8.72048e-15,0,-17.4185,NA,NA,524.712,191.95,NA,NA,NA,NA,NA,-56.9321,0,0.0971363,0.00194273,0,0,0.6271,40.40667,99.30118,99.76163,0.86529,10,10,"A30-C10-D0-L30-E0-F0-I0-R0-cos",22,"A30","C10","D0","L30","E0","F0","I0","R0","cos",9.47557e-07,"#V3.24O",0.333333333333333,FALSE
